timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
44184190,0,1,1,0,0,1,1,0,1,1,1,1,0
44693979,0,1,1,0,0,1,1,0,1,1,1,1,0
45204660,0,1,1,0,0,1,1,0,1,1,1,1,0
45706662,0,1,1,0,0,1,1,0,1,1,1,1,0
46208582,0,1,1,0,0,1,1,0,1,1,1,1,0
46713833,0,1,1,0,0,1,1,0,1,1,1,1,0
47219863,0,1,1,0,0,1,1,0,1,1,1,1,0
47728870,0,1,1,0,0,1,1,0,1,1,1,1,0
48237423,0,1,1,0,0,1,1,0,1,1,1,1,0
48743581,0,1,1,0,0,1,1,0,1,1,1,1,0
49250792,0,1,1,0,0,1,1,0,1,1,1,1,0
49750825,0,1,1,0,0,1,1,0,1,1,1,1,0
50260795,0,1,1,0,0,1,1,0,1,1,1,1,0
50761822,0,1,1,0,0,1,1,0,1,1,1,1,0
51261889,0,1,1,0,0,1,1,0,1,1,1,1,0
51769392,0,1,1,0,0,1,1,0,1,1,1,1,0
52278983,0,1,1,0,0,1,1,0,1,1,1,1,0
52785824,0,1,1,0,0,1,1,0,1,1,1,1,0
52877572,0,1,1,0,0,1,1,0,0,0,1,1,0
53383098,0,1,1,0,0,1,1,0,0,0,1,1,0
53885219,0,1,1,0,0,1,1,0,0,0,1,1,0
54395754,0,1,1,0,0,1,1,0,0,0,1,1,0
54529904,0,1,1,0,0,1,1,0,0,0,1,1,0
55040902,0,1,1,0,0,1,1,0,0,0,1,1,0
55550991,0,1,1,0,0,1,1,0,0,0,1,1,0
56056912,0,1,1,0,0,1,1,0,0,0,1,1,0
56563793,0,1,1,0,0,1,1,0,0,0,1,1,0
57073793,0,1,1,0,0,1,1,0,0,0,1,1,0
57579793,0,1,1,0,0,1,1,0,0,0,1,1,0
58089387,0,1,1,0,0,1,1,0,0,0,1,1,0
58591038,0,1,1,0,0,1,1,0,0,0,1,1,0
59097402,0,1,1,0,0,1,1,0,0,0,1,1,0
59599921,0,1,1,0,0,1,1,0,0,0,1,1,0
60103833,0,1,1,0,0,1,1,0,0,0,1,1,0
60610833,0,1,1,0,0,1,1,0,0,0,1,1,0
61115074,0,1,1,0,0,1,1,0,0,0,1,1,0
61626283,0,1,1,0,0,1,1,0,0,0,1,1,0
62136887,0,1,1,0,0,1,1,0,0,0,1,1,0
62641942,0,1,1,0,0,1,1,0,0,0,1,1,0
63149795,0,1,1,0,0,1,1,0,0,0,1,1,0
63650965,0,1,1,0,0,1,1,0,0,0,1,1,0
64153797,0,1,1,0,0,1,1,0,0,0,1,1,0
64663815,0,1,1,0,0,1,1,0,0,0,1,1,0
64730820,0,1,1,0,0,1,1,0,0,0,1,1,0
65240792,0,1,1,0,0,1,1,0,0,0,1,1,0
65749795,0,1,1,0,0,1,1,0,0,0,1,1,0
66249807,0,1,1,0,0,1,1,0,0,0,1,1,0
66751961,0,1,1,0,0,1,1,0,0,0,1,1,0
67252433,0,1,1,0,0,1,1,0,0,0,1,1,0
67752904,0,1,1,0,0,1,1,0,0,0,1,1,0
68253152,0,1,1,0,0,1,1,0,0,0,1,1,0
68757853,0,1,1,0,0,1,1,0,0,0,1,1,0
69258865,0,1,1,0,0,1,1,0,0,0,1,1,0
69761016,0,1,1,0,0,1,1,0,0,0,1,1,0
70271795,0,1,1,0,0,1,1,0,0,0,1,1,0
70781835,0,1,1,0,0,1,1,0,0,0,1,1,0
71097066,0,1,1,0,0,1,1,0,1,1,1,1,0
71603826,0,1,1,0,0,1,1,0,1,1,1,1,0
72110903,0,1,1,0,0,1,1,0,1,1,1,1,0
72619783,0,1,1,0,0,1,1,0,1,1,1,1,0
73127796,0,1,1,0,0,1,1,0,1,1,1,1,0
73633000,0,1,1,0,0,1,1,0,1,1,1,1,0
74141897,0,1,1,0,0,1,1,0,1,1,1,1,0
74644845,0,1,1,0,0,1,1,0,1,1,1,1,0
75146795,0,1,1,0,0,1,1,0,1,1,1,1,0
75653795,0,1,1,0,0,1,1,0,1,1,1,1,0
76155482,0,1,1,0,0,1,1,0,1,1,1,1,0
76656969,0,1,1,0,0,1,1,0,1,1,1,1,0
77160997,0,1,1,0,0,1,1,0,1,1,1,1,0
77663792,0,1,1,0,0,1,1,0,1,1,1,1,0
78170833,0,1,1,0,0,1,1,0,1,1,1,1,0
78674976,0,1,1,0,0,1,1,0,1,1,1,1,0
79178047,0,1,1,0,0,1,1,0,1,1,1,1,0
79683876,0,1,1,0,0,1,1,0,1,1,1,1,0
80185128,0,1,1,0,0,1,1,0,1,1,1,1,0
80691885,0,1,1,0,0,1,1,0,1,1,1,1,0
81198216,0,1,1,0,0,1,1,0,1,1,1,1,0
81699869,0,1,1,0,0,1,1,0,1,1,1,1,0
82206465,0,1,1,0,0,1,1,0,1,1,1,1,0
82709866,0,1,1,0,0,1,1,0,1,1,1,1,0
83214913,0,1,1,0,0,1,1,0,1,1,1,1,0
83720410,0,1,1,0,0,1,1,0,1,1,1,1,0
84221796,0,1,1,0,0,1,1,0,1,1,1,1,0
84726232,0,1,1,0,0,1,1,0,1,1,1,1,0
85227798,0,1,1,0,0,1,1,0,1,1,1,1,0
85734488,0,1,1,0,0,1,1,0,1,1,1,1,0
86240817,0,1,1,0,0,1,1,0,1,1,1,1,0
86740920,0,1,1,0,0,1,1,0,1,1,1,1,0
87240971,0,1,1,0,0,1,1,0,1,1,1,1,0
87750836,0,1,1,0,0,1,1,0,1,1,1,1,0
88029010,0,1,1,0,0,1,1,0,0,0,1,1,0
88530817,0,1,1,0,0,1,1,0,0,0,1,1,0
89032198,0,1,1,0,0,1,1,0,0,0,1,1,0
89541857,0,1,1,0,0,1,1,0,0,0,1,1,0
90050797,0,1,1,0,0,1,1,0,0,0,1,1,0
90559800,0,1,1,0,0,1,1,0,0,0,1,1,0
91061826,0,1,1,0,0,1,1,0,0,0,1,1,0
91572796,0,1,1,0,0,1,1,0,0,0,1,1,0
92082906,0,1,1,0,0,1,1,0,0,0,1,1,0
92584881,0,1,1,0,0,1,1,0,0,0,1,1,0
93094849,0,1,1,0,0,1,1,0,0,0,1,1,0
93594888,0,1,1,0,0,1,1,0,0,0,1,1,0
94095801,0,1,1,0,0,1,1,0,0,0,1,1,0
94605340,0,1,1,0,0,1,1,0,0,0,1,1,0
95107586,0,1,1,0,0,1,1,0,0,0,1,1,0
95609794,0,1,1,0,0,1,1,0,0,0,1,1,0
96112899,0,1,1,0,0,1,1,0,0,0,1,1,0
96617738,0,1,1,0,0,1,1,0,0,0,1,1,0
97120794,0,1,1,0,0,1,1,0,0,0,1,1,0
97615901,0,1,1,0,0,1,1,0,1,1,1,1,0
98120927,0,1,1,0,0,1,1,0,1,1,1,1,0
98623933,0,1,1,0,0,1,1,0,1,1,1,1,0
99129793,0,1,1,0,0,1,1,0,1,1,1,1,0
99637981,0,1,1,0,0,1,1,0,1,1,1,1,0
100148991,0,1,1,0,0,1,1,0,1,1,1,1,0
100652960,0,1,1,0,0,1,1,0,1,1,1,1,0
101159796,0,1,1,0,0,1,1,0,1,1,1,1,0
101660943,0,1,1,0,0,1,1,0,1,1,1,1,0
102162462,0,1,1,0,0,1,1,0,1,1,1,1,0
102662805,0,1,1,0,0,1,1,0,1,1,1,1,0
103165928,0,1,1,0,0,1,1,0,1,1,1,1,0
103673109,0,1,1,0,0,1,1,0,1,1,1,1,0
104179403,0,1,1,0,0,1,1,0,1,1,1,1,0
104686646,0,1,1,0,0,1,1,0,1,1,1,1,0
105196638,0,1,1,0,0,1,1,0,1,1,1,1,0
105696804,0,1,1,0,0,1,1,0,1,1,1,1,0
106199067,0,1,1,0,0,1,1,0,1,1,1,1,0
106706790,0,1,1,0,0,1,1,0,1,1,1,1,0
107206833,0,1,1,0,0,1,1,0,1,1,1,1,0
107708909,0,1,1,0,0,1,1,0,1,1,1,1,0
108217967,0,1,1,0,0,1,1,0,1,1,1,1,0
108719613,0,1,1,0,0,1,1,0,1,1,1,1,0
109219794,0,1,1,0,0,1,1,0,1,1,1,1,0
109729832,0,1,1,0,0,1,1,0,1,1,1,1,0
110231818,0,1,1,0,0,1,1,0,1,1,1,1,0
110732206,0,1,1,0,0,1,1,0,1,1,1,1,0
111240851,0,1,1,0,0,1,1,0,1,1,1,1,0
111745791,0,1,1,0,0,1,1,0,1,1,1,1,0
112250998,0,1,1,0,0,1,1,0,1,1,1,1,0
112755041,0,1,1,0,0,1,1,0,1,1,1,1,0
113263489,0,1,1,0,0,1,1,0,1,1,1,1,0
113771040,0,1,1,0,0,1,1,0,1,1,1,1,0
114273830,0,1,1,0,0,1,1,0,1,1,1,1,0
114775070,0,1,1,0,0,1,1,0,1,1,1,1,0
115285006,0,1,1,0,0,1,1,0,1,1,1,1,0
115785882,0,1,1,0,0,1,1,0,1,1,1,1,0
116289256,0,1,1,0,0,1,1,0,1,1,1,1,0
116796196,0,1,1,0,0,1,1,0,1,1,1,1,0
117297269,0,1,1,0,0,1,1,0,1,1,1,1,0
117800834,0,1,1,0,0,1,1,0,1,1,1,1,0
118302869,0,1,1,0,0,1,1,0,1,1,1,1,0
118805793,0,1,1,0,0,1,1,0,1,1,1,1,0
119309797,0,1,1,0,0,1,1,0,1,1,1,1,0
119818134,0,1,1,0,0,1,1,0,1,1,1,1,0
120319794,0,1,1,0,0,1,1,0,1,1,1,1,0
120825944,0,1,1,0,0,1,1,0,1,1,1,1,0
121331795,0,1,1,0,0,1,1,0,1,1,1,1,0
121838795,0,1,1,0,0,1,1,0,1,1,1,1,0
122341832,0,1,1,0,0,1,1,0,1,1,1,1,0
122851816,0,1,1,0,0,1,1,0,1,1,1,1,0
123355003,0,1,1,0,0,1,1,0,1,1,1,1,0
123862795,0,1,1,0,0,1,1,0,1,1,1,1,0
124362823,0,1,1,0,0,1,1,0,1,1,1,1,0
124864595,0,1,1,0,0,1,1,0,1,1,1,1,0
125369943,0,1,1,0,0,1,1,0,1,1,1,1,0
125872829,0,1,1,0,0,1,1,0,1,1,1,1,0
126378140,0,1,1,0,0,1,1,0,1,1,1,1,0
126884840,0,1,1,0,0,1,1,0,1,1,1,1,0
127384872,0,1,1,0,0,1,1,0,1,1,1,1,0
127890113,0,1,1,0,0,1,1,0,1,1,1,1,0
128395837,0,1,1,0,0,1,1,0,1,1,1,1,0
128901801,0,1,1,0,0,1,1,0,1,1,1,1,0
129405136,0,1,1,0,0,1,1,0,1,1,1,1,0
129908835,0,1,1,0,0,1,1,0,1,1,1,1,0
130416611,0,1,1,0,0,1,1,0,1,1,1,1,0
130926622,0,1,1,0,0,1,1,0,1,1,1,1,0
131428891,0,1,1,0,0,1,1,0,1,1,1,1,0
131929792,0,1,1,0,0,1,1,0,1,1,1,1,0
132434842,0,1,1,0,0,1,1,0,1,1,1,1,0
132939815,0,1,1,0,0,1,1,0,1,1,1,1,0
133446174,0,1,1,0,0,1,1,0,1,1,1,1,0
133949794,0,1,1,0,0,1,1,0,1,1,1,1,0
134450831,0,1,1,0,0,1,1,0,1,1,1,1,0
134957422,0,1,1,0,0,1,1,0,1,1,1,1,0
135462873,0,1,1,0,0,1,1,0,1,1,1,1,0
135972664,0,1,1,0,0,1,1,0,1,1,1,1,0
136479833,0,1,1,0,0,1,1,0,1,1,1,1,0
136982939,0,1,1,0,0,1,1,0,1,1,1,1,0
137483792,0,1,1,0,0,1,1,0,1,1,1,1,0
137991032,0,1,1,0,0,1,1,0,1,1,1,1,0
138496843,0,1,1,0,0,1,1,0,1,1,1,1,0
138998370,0,1,1,0,0,1,1,0,1,1,1,1,0
139505399,0,1,1,0,0,1,1,0,1,1,1,1,0
140007837,0,1,1,0,0,1,1,0,1,1,1,1,0
140509107,0,1,1,0,0,1,1,0,1,1,1,1,0
141016094,0,1,1,0,0,1,1,0,1,1,1,1,0
141525993,0,1,1,0,0,1,1,0,1,1,1,1,0
142030834,0,1,1,0,0,1,1,0,1,1,1,1,0
142538791,0,1,1,0,0,1,1,0,1,1,1,1,0
143038850,0,1,1,0,0,1,1,0,1,1,1,1,0
143539818,0,1,1,0,0,1,1,0,1,1,1,1,0
144041817,0,1,1,0,0,1,1,0,1,1,1,1,0
144549957,0,1,1,0,0,1,1,0,1,1,1,1,0
145050817,0,1,1,0,0,1,1,0,1,1,1,1,0
145553794,0,1,1,0,0,1,1,0,1,1,1,1,0
146062329,0,1,1,0,0,1,1,0,1,1,1,1,0
146566859,0,1,1,0,0,1,1,0,1,1,1,1,0
147068232,0,1,1,0,0,1,1,0,1,1,1,1,0
147573043,0,1,1,0,0,1,1,0,1,1,1,1,0
148083822,0,1,1,0,0,1,1,0,1,1,1,1,0
148590924,0,1,1,0,0,1,1,0,1,1,1,1,0
149097835,0,1,1,0,0,1,1,0,1,1,1,1,0
149601825,0,1,1,0,0,1,1,0,1,1,1,1,0
150105790,0,1,1,0,0,1,1,0,1,1,1,1,0
150606836,0,1,1,0,0,1,1,0,1,1,1,1,0
151109792,0,1,1,0,0,1,1,0,1,1,1,1,0
151618792,0,1,1,0,0,1,1,0,1,1,1,1,0
152121124,0,1,1,0,0,1,1,0,1,1,1,1,0
152631798,0,1,1,0,0,1,1,0,1,1,1,1,0
153141795,0,1,1,0,0,1,1,0,1,1,1,1,0
153647866,0,1,1,0,0,1,1,0,1,1,1,1,0
154150819,0,1,1,0,0,1,1,0,1,1,1,1,0
154657214,0,1,1,0,0,1,1,0,1,1,1,1,0
155160836,0,1,1,0,0,1,1,0,1,1,1,1,0
155662837,0,1,1,0,0,1,1,0,1,1,1,1,0
156171812,0,1,1,0,0,1,1,0,1,1,1,1,0
156682821,0,1,1,0,0,1,1,0,1,1,1,1,0
157185186,0,1,1,0,0,1,1,0,1,1,1,1,0
157686328,0,1,1,0,0,1,1,0,1,1,1,1,0
158197016,0,1,1,0,0,1,1,0,1,1,1,1,0
158702138,0,1,1,0,0,1,1,0,1,1,1,1,0
159204880,0,1,1,0,0,1,1,0,1,1,1,1,0
159707518,0,1,1,0,0,1,1,0,1,1,1,1,0
160208284,0,1,1,0,0,1,1,0,1,1,1,1,0
160711796,0,1,1,0,0,1,1,0,1,1,1,1,0
161218453,0,1,1,0,0,1,1,0,1,1,1,1,0
161719120,0,1,1,0,0,1,1,0,1,1,1,1,0
162221847,0,1,1,0,0,1,1,0,1,1,1,1,0
162731818,0,1,1,0,0,1,1,0,1,1,1,1,0
163235795,0,1,1,0,0,1,1,0,1,1,1,1,0
163737247,0,1,1,0,0,1,1,0,1,1,1,1,0
164240902,0,1,1,0,0,1,1,0,1,1,1,1,0
164747880,0,1,1,0,0,1,1,0,1,1,1,1,0
165249792,0,1,1,0,0,1,1,0,1,1,1,1,0
165753862,0,1,1,0,0,1,1,0,1,1,1,1,0
166262798,0,1,1,0,0,1,1,0,1,1,1,1,0
166762820,0,1,1,0,0,1,1,0,1,1,1,1,0
167265105,0,1,1,0,0,1,1,0,1,1,1,1,0
167775246,0,1,1,0,0,1,1,0,1,1,1,1,0
168280868,0,1,1,0,0,1,1,0,1,1,1,1,0
168791109,0,1,1,0,0,1,1,0,1,1,1,1,0
169298115,0,1,1,0,0,1,1,0,1,1,1,1,0
169803795,0,1,1,0,0,1,1,0,1,1,1,1,0
170306945,0,1,1,0,0,1,1,0,1,1,1,1,0
170808811,0,1,1,0,0,1,1,0,1,1,1,1,0
171310353,0,1,1,0,0,1,1,0,1,1,1,1,0
171820817,0,1,1,0,0,1,1,0,1,1,1,1,0
172323890,0,1,1,0,0,1,1,0,1,1,1,1,0
172829409,0,1,1,0,0,1,1,0,1,1,1,1,0
173335784,0,1,1,0,0,1,1,0,1,1,1,1,0
173845714,0,1,1,0,0,1,1,0,1,1,1,1,0
174356659,0,1,1,0,0,1,1,0,1,1,1,1,0
174861901,0,1,1,0,0,1,1,0,1,1,1,1,0
175365331,0,1,1,0,0,1,1,0,1,1,1,1,0
175866998,0,1,1,0,0,1,1,0,1,1,1,1,0
176370815,0,1,1,0,0,1,1,0,1,1,1,1,0
176881017,0,1,1,0,0,1,1,0,1,1,1,1,0
177382934,0,1,1,0,0,1,1,0,1,1,1,1,0
177887003,0,1,1,0,0,1,1,0,1,1,1,1,0
178394178,0,1,1,0,0,1,1,0,1,1,1,1,0
178894845,0,1,1,0,0,1,1,0,1,1,1,1,0
179400910,0,1,1,0,0,1,1,0,1,1,1,1,0
179905298,0,1,1,0,0,1,1,0,1,1,1,1,0
180415806,0,1,1,0,0,1,1,0,1,1,1,1,0
180921956,0,1,1,0,0,1,1,0,1,1,1,1,0
181429994,0,1,1,0,0,1,1,0,1,1,1,1,0
181934942,0,1,1,0,0,1,1,0,1,1,1,1,0
182436805,0,1,1,0,0,1,1,0,1,1,1,1,0
182939794,0,1,1,0,0,1,1,0,1,1,1,1,0
183449528,0,1,1,0,0,1,1,0,1,1,1,1,0
183952915,0,1,1,0,0,1,1,0,1,1,1,1,0
184460538,0,1,1,0,0,1,1,0,1,1,1,1,0
184961798,0,1,1,0,0,1,1,0,1,1,1,1,0
185469954,0,1,1,0,0,1,1,0,1,1,1,1,0
185976217,0,1,1,0,0,1,1,0,1,1,1,1,0
186479904,0,1,1,0,0,1,1,0,1,1,1,1,0
186983992,0,1,1,0,0,1,1,0,1,1,1,1,0
187486683,0,1,1,0,0,1,1,0,1,1,1,1,0
187996543,0,1,1,0,0,1,1,0,1,1,1,1,0
188496817,0,1,1,0,0,1,1,0,1,1,1,1,0
189000819,0,1,1,0,0,1,1,0,1,1,1,1,0
189509861,0,1,1,0,0,1,1,0,1,1,1,1,0
190018794,0,1,1,0,0,1,1,0,1,1,1,1,0
190525140,0,1,1,0,0,1,1,0,1,1,1,1,0
191030091,0,1,1,0,0,1,1,0,1,1,1,1,0
191532837,0,1,1,0,0,1,1,0,1,1,1,1,0
192032935,0,1,1,0,0,1,1,0,1,1,1,1,0
192540937,0,1,1,0,0,1,1,0,1,1,1,1,0
193050439,0,1,1,0,0,1,1,0,1,1,1,1,0
193561184,0,1,1,0,0,1,1,0,1,1,1,1,0
194070088,0,1,1,0,0,1,1,0,1,1,1,1,0
194577069,0,1,1,0,0,1,1,0,1,1,1,1,0
195083980,0,1,1,0,0,1,1,0,1,1,1,1,0
195590894,0,1,1,0,0,1,1,0,1,1,1,1,0
196096882,0,1,1,0,0,1,1,0,1,1,1,1,0
196602098,0,1,1,0,0,1,1,0,1,1,1,1,0
197106263,0,1,1,0,0,1,1,0,1,1,1,1,0
197607869,0,1,1,0,0,1,1,0,1,1,1,1,0
198118794,0,1,1,0,0,1,1,0,1,1,1,1,0
198619080,0,1,1,0,0,1,1,0,1,1,1,1,0
199126300,0,1,1,0,0,1,1,0,1,1,1,1,0
199630793,0,1,1,0,0,1,1,0,1,1,1,1,0
200136521,0,1,1,0,0,1,1,0,1,1,1,1,0
200640452,0,1,1,0,0,1,1,0,1,1,1,1,0
201140885,0,1,1,0,0,1,1,0,1,1,1,1,0
201650825,0,1,1,0,0,1,1,0,1,1,1,1,0
202157880,0,1,1,0,0,1,1,0,1,1,1,1,0
202658843,0,1,1,0,0,1,1,0,1,1,1,1,0
203164106,0,1,1,0,0,1,1,0,1,1,1,1,0
203672835,0,1,1,0,0,1,1,0,1,1,1,1,0
204178823,0,1,1,0,0,1,1,0,1,1,1,1,0
204680795,0,1,1,0,0,1,1,0,1,1,1,1,0
205184793,0,1,1,0,0,1,1,0,1,1,1,1,0
205684840,0,1,1,0,0,1,1,0,1,1,1,1,0
206185966,0,1,1,0,0,1,1,0,1,1,1,1,0
206691947,0,1,1,0,0,1,1,0,1,1,1,1,0
207017538,1,1,1,0,0,1,1,0,1,1,1,1,0
207527818,1,1,1,0,0,1,1,0,1,1,1,1,0
208028348,1,1,1,0,0,1,1,0,1,1,1,1,0
208530538,1,1,1,0,0,1,1,0,1,1,1,1,0
209030825,1,1,1,0,0,1,1,0,1,1,1,1,0
209540793,1,1,1,0,0,1,1,0,1,1,1,1,0
210046063,1,1,1,0,0,1,1,0,1,1,1,1,0
210555795,1,1,1,0,0,1,1,0,1,1,1,1,0
211061362,1,1,1,0,0,1,1,0,1,1,1,1,0
211572190,1,1,1,0,0,1,1,0,1,1,1,1,0
211922337,1,1,1,0,0,1,1,0,1,1,1,1,0
212327704,1,1,1,0,0,1,1,0,1,1,1,1,0
212827910,1,1,1,0,0,1,1,0,1,1,1,1,0
213328003,1,1,1,0,0,1,1,0,1,1,1,1,0
213829920,1,1,1,0,0,1,1,0,1,1,1,1,0
214336657,1,1,1,0,0,1,1,0,1,1,1,1,0
214839790,1,1,1,0,0,1,1,0,1,1,1,1,0
215341968,1,1,1,0,0,1,1,0,1,1,1,1,0
215848796,1,1,1,0,0,1,1,0,1,1,1,1,0
216350818,1,1,1,0,0,1,1,0,1,1,1,1,0
216851314,1,1,1,0,0,1,1,0,1,1,1,1,0
217361866,1,1,1,0,0,1,1,0,1,1,1,1,0
217872793,1,1,1,0,0,1,1,0,1,1,1,1,0
218372836,1,1,1,0,0,1,1,0,1,1,1,1,0
218873831,1,1,1,0,0,1,1,0,1,1,1,1,0
219385036,1,1,1,0,0,1,1,0,1,1,1,1,0
219885563,1,1,1,0,0,1,1,0,1,1,1,1,0
220394084,1,1,1,0,0,1,1,0,1,1,1,1,0
220907565,1,1,1,0,0,1,1,0,1,1,1,1,0
221416901,1,1,1,0,0,1,1,0,1,1,1,1,0
221918822,1,1,1,0,0,1,1,0,1,1,1,1,0
222428925,1,1,1,0,0,1,1,0,1,1,1,1,0
222931385,1,1,1,0,0,1,1,0,1,1,1,1,0
223440797,1,1,1,0,0,1,1,0,1,1,1,1,0
223940809,1,1,1,0,0,1,1,0,1,1,1,1,0
224441199,1,1,1,0,0,1,1,0,1,1,1,1,0
224950933,1,1,1,0,0,1,1,0,1,1,1,1,0
225457905,1,1,1,0,0,1,1,0,1,1,1,1,0
225961882,1,1,1,0,0,1,1,0,1,1,1,1,0
226471791,1,1,1,0,0,1,1,0,1,1,1,1,0
226973896,1,1,1,0,0,1,1,0,1,1,1,1,0
227474945,1,1,1,0,0,1,1,0,1,1,1,1,0
