timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
1009456,0,0,1,0,0,0,0,0
1510985,0,0,1,0,0,0,0,0
2013301,0,0,1,0,0,0,0,0
2524357,0,0,1,0,0,0,0,0
3034010,0,0,1,0,0,0,0,0
3540831,0,0,1,0,0,0,0,0
4048833,0,0,1,0,0,0,0,0
4094579,0,0,1,0,0,0,0,0
4599420,0,0,1,0,0,0,0,0
5109971,0,0,1,0,0,0,0,0
5620965,0,0,1,0,0,0,0,0
6128833,0,0,1,0,0,0,0,0
6638799,0,0,1,0,0,0,0,0
7138829,0,0,1,0,0,0,0,0
7647804,0,0,1,0,0,0,0,0
8150804,0,0,1,0,0,0,0,0
8659805,0,0,1,0,0,0,0,0
9163600,0,0,1,0,0,0,0,0
9671803,0,0,1,0,0,0,0,0
10171961,0,0,1,0,0,0,0,0
10683016,0,0,1,0,0,0,0,0
11193858,0,0,1,0,0,0,0,0
11694865,0,0,1,0,0,0,0,0
12205801,0,0,1,0,0,0,0,0
12713804,0,0,1,0,0,0,0,0
13215953,0,0,1,0,0,0,0,0
13716586,0,0,1,0,0,0,0,0
14140907,0,0,1,0,0,0,0,0
14642877,0,0,1,0,0,0,0,0
15149910,0,0,1,0,0,0,0,0
15659861,0,0,1,0,0,0,0,0
16160861,0,0,1,0,0,0,0,0
16661803,0,0,1,0,0,0,0,0
17169805,0,0,1,0,0,0,0,0
17427899,0,0,1,0,0,0,0,0
17938212,0,0,1,0,0,0,0,0
18441103,0,0,1,0,0,0,0,0
18941912,0,0,1,0,0,0,0,0
19452013,0,0,1,0,0,0,0,0
19956855,0,0,1,0,0,0,0,0
20463868,0,0,1,0,0,0,0,0
20973804,0,0,1,0,0,0,0,0
21484850,0,0,1,0,0,0,0,0
21985799,0,0,1,0,0,0,0,0
22488597,0,0,1,0,0,0,0,0
22989838,0,0,1,0,0,0,0,0
23495957,0,0,1,0,0,0,0,0
23997994,0,0,1,0,0,0,0,0
24498836,0,0,1,0,0,0,0,0
25002834,0,0,1,0,0,0,0,0
25510799,0,0,1,0,0,0,0,0
26013842,0,0,1,0,0,0,0,0
26517802,0,0,1,0,0,0,0,0
27019906,0,0,1,0,0,0,0,0
27522855,0,0,1,0,0,0,0,0
28028190,0,0,1,0,0,0,0,0
28528803,0,0,1,0,0,0,0,0
29029801,0,0,1,0,0,0,0,0
29538313,0,0,1,0,0,0,0,0
30041175,0,0,1,0,0,0,0,0
30544850,0,0,1,0,0,0,0,0
31046096,0,0,1,0,0,0,0,0
31552431,0,0,1,0,0,0,0,0
32056838,0,0,1,0,0,0,0,0
32559991,0,0,1,0,0,0,0,0
33063800,0,0,1,0,0,0,0,0
33572633,0,0,1,0,0,0,0,0
34073801,0,0,1,0,0,0,0,0
34577896,0,0,1,0,0,0,0,0
35087545,0,0,1,0,0,0,0,0
35590986,0,0,1,0,0,0,0,0
36096128,0,0,1,0,0,0,0,0
36599887,0,0,1,0,0,0,0,0
37104970,0,0,1,0,0,0,0,0
37615801,0,0,1,0,0,0,0,0
38118882,0,0,1,0,0,0,0,0
38619803,0,0,1,0,0,0,0,0
39130802,0,0,1,0,0,0,0,0
39631840,0,0,1,0,0,0,0,0
40137950,0,0,1,0,0,0,0,0
40648077,0,0,1,0,0,0,0,0
41151859,0,0,1,0,0,0,0,0
41657106,0,0,1,0,0,0,0,0
42167029,0,0,1,0,0,0,0,0
42671943,0,0,1,0,0,0,0,0
43179902,0,0,1,0,0,0,0,0
43683841,0,0,1,0,0,0,0,0
44184197,0,0,1,0,0,0,0,0
44693989,0,0,1,0,0,0,0,0
45204669,0,0,1,0,0,0,0,0
45706669,0,0,1,0,0,0,0,0
46208592,0,0,1,0,0,0,0,0
46713844,0,0,1,0,0,0,0,0
47219872,0,0,1,0,0,0,0,0
47728882,0,0,1,0,0,0,0,0
48237438,0,0,1,0,0,0,0,0
48743588,0,0,1,0,0,0,0,0
49250802,0,0,1,0,0,0,0,0
49750834,0,0,1,0,0,0,0,0
50260805,0,0,1,0,0,0,0,0
50761834,0,0,1,0,0,0,0,0
51261899,0,0,1,0,0,0,0,0
51769401,0,0,1,0,0,0,0,0
52278993,0,0,1,0,0,0,0,0
52785831,0,0,1,0,0,0,0,0
52877581,0,0,1,0,0,0,0,0
53383107,0,0,1,0,0,0,0,0
53885226,0,0,1,0,0,0,0,0
54395763,0,0,1,0,0,0,0,0
54529913,0,0,1,0,0,0,0,0
55040912,0,0,1,0,0,0,0,0
55551003,0,0,1,0,0,0,0,0
56056919,0,0,1,0,0,0,0,0
56563803,0,0,1,0,0,0,0,0
57073802,0,0,1,0,0,0,0,0
57579803,0,0,1,0,0,0,0,0
58089396,0,0,1,0,0,0,0,0
58591047,0,0,1,0,0,0,0,0
59097411,0,0,1,0,0,0,0,0
59599931,0,0,1,0,0,0,0,0
60103843,0,0,1,0,0,0,0,0
60610842,0,0,1,0,0,0,0,0
61115084,0,0,1,0,0,0,0,0
61626292,0,0,1,0,0,0,0,0
62136975,0,0,1,0,0,0,0,0
62641957,0,0,1,0,0,0,0,0
63149804,0,0,1,0,0,0,0,0
63650977,0,0,1,0,0,0,0,0
64153807,0,0,1,0,0,0,0,0
64663825,0,0,1,0,0,0,0,0
64730833,0,0,1,0,0,0,0,0
65240802,0,0,1,0,0,0,0,0
65749804,0,0,1,0,0,0,0,0
66249817,0,0,1,0,0,0,0,0
66751973,0,0,1,0,0,0,0,0
67252442,0,0,1,0,0,0,0,0
67752914,0,0,1,0,0,0,0,0
68253167,0,0,1,0,0,0,0,0
68757863,0,0,1,0,0,0,0,0
69258875,0,0,1,0,0,0,0,0
69761029,0,0,1,0,0,0,0,0
70271805,0,0,1,0,0,0,0,0
70781844,0,0,1,0,0,0,0,0
71097076,0,0,1,0,0,0,0,0
71603838,0,0,1,0,0,0,0,0
72110915,0,0,1,0,0,0,0,0
72619793,0,0,1,0,0,0,0,0
73127803,0,0,1,0,0,0,0,0
73633012,0,0,1,0,0,0,0,0
74141907,0,0,1,0,0,0,0,0
74644853,0,0,1,0,0,0,0,0
75146804,0,0,1,0,0,0,0,0
75653805,0,0,1,0,0,0,0,0
76155489,0,0,1,0,0,0,0,0
76656978,0,0,1,0,0,0,0,0
77161006,0,0,1,0,0,0,0,0
77663802,0,0,1,0,0,0,0,0
78170843,0,0,1,0,0,0,0,0
78674984,0,0,1,0,0,0,0,0
79178055,0,0,1,0,0,0,0,0
79683886,0,0,1,0,0,0,0,0
80185137,0,0,1,0,0,0,0,0
80691894,0,0,1,0,0,0,0,0
81198224,0,0,1,0,0,0,0,0
81699884,0,0,1,0,0,0,0,0
82206472,0,0,1,0,0,0,0,0
82709880,0,0,1,0,0,0,0,0
83214923,0,0,1,0,0,0,0,0
83720419,0,0,1,0,0,0,0,0
84221806,0,0,1,0,0,0,0,0
84726239,0,0,1,0,0,0,0,0
85227808,0,0,1,0,0,0,0,0
85734496,0,0,1,0,0,0,0,0
86240829,0,0,1,0,0,0,0,0
86740930,0,0,1,0,0,0,0,0
87240983,0,0,1,0,0,0,0,0
87750846,0,0,1,0,0,0,0,0
88029019,0,0,1,0,0,0,0,0
88530830,0,0,1,0,0,0,0,0
89032208,0,0,1,0,0,0,0,0
89541867,0,0,1,0,0,0,0,0
90050807,0,0,1,0,0,0,0,0
90559810,0,0,1,0,0,0,0,0
91061840,0,0,1,0,0,0,0,0
91572805,0,0,1,0,0,0,0,0
92082916,0,0,1,0,0,0,0,0
92584891,0,0,1,0,0,0,0,0
93094858,0,0,1,0,0,0,0,0
93594898,0,0,1,0,0,0,0,0
94095811,0,0,1,0,0,0,0,0
94605350,0,0,1,0,0,0,0,0
95107668,0,0,1,0,0,0,0,0
95609804,0,0,1,0,0,0,0,0
96112909,0,0,1,0,0,0,0,0
96617748,0,0,1,0,0,0,0,0
97120804,0,0,1,0,0,0,0,0
97615910,0,0,1,0,0,0,0,0
98120936,0,0,1,0,0,0,0,0
98623944,0,0,1,0,0,0,0,0
99129803,0,0,1,0,0,0,0,0
99637990,0,0,1,0,0,0,0,0
100149001,0,0,1,0,0,0,0,0
100652970,0,0,1,0,0,0,0,0
101159806,0,0,1,0,0,0,0,0
101660953,0,0,1,0,0,0,0,0
102162472,0,0,1,0,0,0,0,0
102662815,0,0,1,0,0,0,0,0
103167339,0,0,1,0,0,0,0,0
103673119,0,0,1,0,0,0,0,0
104179413,0,0,1,0,0,0,0,0
104686654,0,0,1,0,0,0,0,0
105196647,0,0,1,0,0,0,0,0
105696814,0,0,1,0,0,0,0,0
106199079,0,0,1,0,0,0,0,0
106706797,0,0,1,0,0,0,0,0
107206842,0,0,1,0,0,0,0,0
107708919,0,0,1,0,0,0,0,0
108217974,0,0,1,0,0,0,0,0
108719623,0,0,1,0,0,0,0,0
109219804,0,0,1,0,0,0,0,0
109729841,0,0,1,0,0,0,0,0
110231830,0,0,1,0,0,0,0,0
110732216,0,0,1,0,0,0,0,0
111240860,0,0,1,0,0,0,0,0
111745801,0,0,1,0,0,0,0,0
112251008,0,0,1,0,0,0,0,0
112755049,0,0,1,0,0,0,0,0
113263498,0,0,1,0,0,0,0,0
113771050,0,0,1,0,0,0,0,0
114273840,0,0,1,0,0,0,0,0
114775079,0,0,1,0,0,0,0,0
